OncogeneID	OncogeneName	Cytoband	GeneType
10221	TRIB1	8q24.13	protein-coding
7295	TXN	9q31	protein-coding
867	CBL	11q23.3	protein-coding
673	BRAF	7q34	protein-coding
5979	RET	10q11.2	protein-coding
596	BCL2	18q21.3	protein-coding
5290	PIK3CA	3q26.3	protein-coding
5156	PDGFRA	4q12	protein-coding
4893	NRAS	1p13.2	protein-coding
4233	MET	7q31	protein-coding
3845	KRAS	12p12.1	protein-coding
3815	KIT	4q12	protein-coding
3717	JAK2	9p24	protein-coding
3265	HRAS	11p15.5	protein-coding
25	ABL1	9q34.1	protein-coding
238	ALK	2p23	protein-coding
2263	FGFR2	10q26	protein-coding
207	AKT1	14q32.32	protein-coding
1436	CSF1R	5q32	protein-coding
9314	KLF4	9q31	protein-coding
9232	PTTG1	5q35.1	protein-coding
9098	USP6	17p13	protein-coding
8725	URI1	19q12	protein-coding
865	CBFB	16q22.1	protein-coding
862	RUNX1T1	8q22	protein-coding
861	RUNX1	21q22.3	protein-coding
84433	CARD11	7p22	protein-coding
8328	GFI1B	9q34.13	protein-coding
8115	TCL1A	14q32.1	protein-coding
8091	HMGA2	12q15	protein-coding
8031	NCOA4	10q11.2	protein-coding
7994	KAT6A	8p11	protein-coding
7913	DEK	6p22.3	protein-coding
7525	YES1	18p11.31-p11.21	protein-coding
6886	TAL1	1p32	protein-coding
6790	AURKA	20q13	protein-coding
6760	SS18	18q11.2	protein-coding
6714	SRC	20q12-q13	protein-coding
6608	SMO	7q32.3	protein-coding
6497	SKI	1p36.33	protein-coding
648	BMI1	10p11.23	protein-coding
64324	NSD1	5q35	protein-coding
6427	SRSF2	17q25.1	protein-coding
613	BCR	22q11.23	protein-coding
6098	ROS1	6q22	protein-coding
604	BCL6	3q27	protein-coding
602	BCL3	19q13.32	protein-coding
595	CCND1	11q13	protein-coding
5894	RAF1	3p25	protein-coding
5781	PTPN11	12q24	protein-coding
574032	MIR20B	Xq26.2	ncRNA
5584	PRKCI	3q26.3	protein-coding
5518	PPP2R1A	19q13.41	protein-coding
5371	PML	15q22	protein-coding
5324	PLAG1	8q12	protein-coding
5292	PIM1	6p21.2	protein-coding
4914	NTRK1	1q21-q22	protein-coding
4613	MYCN	2p24.3	protein-coding
4609	MYC	8q24.21	protein-coding
4602	MYB	6q22-q23	protein-coding
442918	MIR373	19q13.42	ncRNA
442917	MIR372	19q13.42	ncRNA
4352	MPL	1p34	protein-coding
4342	MOS	8q11	protein-coding
4300	MLLT3	9p22	protein-coding
4299	AFF1	4q21	protein-coding
4297	KMT2A	11q23	protein-coding
4193	MDM2	12q14.3-q15	protein-coding
4168	MCF2	Xq27	protein-coding
4142	MAS1	6q25.3-q26	protein-coding
414060	TBC1D3C	17q12	protein-coding
4094	MAF	16q22-q23	protein-coding
407018	MIR27A	19p13.13	ncRNA
407007	MIR222	Xp11.3	ncRNA
407006	MIR221	Xp11.3	ncRNA
406991	MIR21	17q23.1	ncRNA
406947	MIR155	21q21.3	ncRNA
406942	MIR150	19q13.33	ncRNA
406901	MIR107	10q23.31	ncRNA
4005	LMO2	11p13	protein-coding
3725	JUN	1p32-p31	protein-coding
3205	HOXA9	7p15.2	protein-coding
2778	GNAS	20q13.3	protein-coding
2735	GLI1	12q13.3	protein-coding
26040	SETBP1	18q21.1	protein-coding
25937	WWTR1	3q23-q24	protein-coding
25875	LETMD1	12q13.12	protein-coding
2521	FUS	16p11.2	protein-coding
23598	PATZ1	22q12.2	protein-coding
2353	FOS	14q24.3	protein-coding
23512	SUZ12	17q11.2	protein-coding
2322	FLT3	13q12	protein-coding
2313	FLI1	11q24.1-q24.3	protein-coding
2242	FES	15q26.1	protein-coding
2146	EZH2	7q35-q36	protein-coding
2130	EWSR1	22q12.2	protein-coding
2120	ETV6	12p13	protein-coding
2114	ETS2	21q22.2	protein-coding
2113	ETS1	11q23.3	protein-coding
2064	ERBB2	17q12	protein-coding
1956	EGFR	7p12	protein-coding
1649	DDIT3	12q13.1-q13.2	protein-coding
1499	CTNNB1	3p21	protein-coding
1398	CRK	17p13.3	protein-coding
11214	AKAP13	15q25.3	protein-coding
11040	PIM2	Xp11.23	protein-coding
10413	YAP1	11q13	protein-coding
1027	CDKN1B	12p13.1-p12	protein-coding
999	CDH1	16q22.1	protein-coding
9935	MAFB	20q12	protein-coding
990	CDC6	17q21.3	protein-coding
988	CDC5L	6p21	protein-coding
9869	SETDB1	1q21	protein-coding
9820	CUL7	6p21.1	protein-coding
9798	IST1	16q22.2	protein-coding
9690	UBE3C	7q36.3	protein-coding
9641	IKBKE	1q32.1	protein-coding
9623	TCL1B	14q32.1	protein-coding
957	ENTPD5	14q24	protein-coding
9557	CHD1L	1q12	protein-coding
9349	RPL23	17q	protein-coding
9271	PIWIL1	12q24.33	protein-coding
9258	MFHAS1	8p23.1	protein-coding
92140	MTDH	8q22.1	protein-coding
91653	BOC	3q13.2	protein-coding
9133	CCNB2	15q22.2	protein-coding
898	CCNE1	19q12	protein-coding
8840	WISP1	8q24.22	protein-coding
8766	RAB11A	15q22.31	protein-coding
8668	EIF3I	1p34.1	protein-coding
8660	IRS2	13q34	protein-coding
8626	TP63	3q28	protein-coding
857	CAV1	7q31.1	protein-coding
8533	COPS3	17p11.2	protein-coding
84951	TNS4	17q21.2	protein-coding
8277	TKTL1	Xq28	protein-coding
8178	ELL	19p13.1	protein-coding
81610	FAM83D	20q11.23	protein-coding
8148	TAF15	17q12	protein-coding
81	ACTN4	19q13	protein-coding
8089	YEATS4	12q15	protein-coding
8073	PTP4A2	1p35	protein-coding
8061	FOSL1	11q13	protein-coding
80326	WNT10A	2q35	protein-coding
8030	CCDC6	10q21	protein-coding
8021	NUP214	9q34.1	protein-coding
80139	ZNF703	8p11.23	protein-coding
79923	NANOG	12p13.31	protein-coding
79870	BAALC	8q22.3	protein-coding
7984	ARHGEF5	7q35	protein-coding
79058	ASPSCR1	17q25.3	protein-coding
7849	PAX8	2q13	protein-coding
7803	PTP4A1	6q12	protein-coding
7764	ZNF217	20q13.2	protein-coding
7704	ZBTB16	11q23.1	protein-coding
754	PTTG1IP	21q22.3	protein-coding
7490	WT1	11p13	protein-coding
7473	WNT3	17q21	protein-coding
7471	WNT1	12q13	protein-coding
7468	WHSC1	4p16.3	protein-coding
7431	VIM	10p13	protein-coding
7409	VAV1	19p13.3	protein-coding
7375	USP4	3p21.3	protein-coding
729873	TBC1D3	17q12	protein-coding
7298	TYMS	18p11.32	protein-coding
7291	TWIST1	7p21.2	protein-coding
728655	HULC	6p24.3	ncRNA
727837	SSX2B	Xp11.22	protein-coding
7205	TRIP6	7q22	protein-coding
7175	TPR	1q25	protein-coding
7161	TP73	1p36.3	protein-coding
7095	SEC62	3q26.2	protein-coding
7030	TFE3	Xp11.22	protein-coding
6950	TCP1	6q25.3-q26	protein-coding
693235	MIR92B	1q22	ncRNA
693230	MIR645	20q13.13	ncRNA
693218	MIR633	17q23.2	ncRNA
693160	MIR575	4q21.22	ncRNA
6929	TCF3	19p13.3	protein-coding
6909	TBX2	17q23.2	protein-coding
6901	TAZ	Xq28	protein-coding
6887	TAL2	9q32	protein-coding
6885	MAP3K7	6q15	protein-coding
6850	SYK	9q22	protein-coding
6774	STAT3	17q21.31	protein-coding
6757	SSX2	Xp11.22	protein-coding
6756	SSX1	Xp11.23	protein-coding
6720	SREBF1	17p11.2	protein-coding
6688	SPI1	11p11.2	protein-coding
6678	SPARC	5q31.3-q32	protein-coding
6657	SOX2	3q26.33	protein-coding
6615	SNAI1	20q13.2	protein-coding
6502	SKP2	5p13	protein-coding
6498	SKIL	3q26	protein-coding
64919	BCL11B	14q32.2	protein-coding
6491	STIL	1p32	protein-coding
64783	RBM15	1p13	protein-coding
6446	SGK1	6q23	protein-coding
64220	STRA6	15q24.1	protein-coding
6418	SET	9q34	protein-coding
64109	CRLF2	Xp22.3; Yp11.3	protein-coding
640	BLK	8p23-p22	protein-coding
6375	XCL1	1q23	protein-coding
6304	SATB1	3p23	protein-coding
6295	SAG	2q37.1	protein-coding
6278	S100A7	1q21	protein-coding
6237	RRAS	19q13.33	protein-coding
607	BCL9	1q21	protein-coding
6016	RIT1	1q22	protein-coding
5983	RFC3	13q13.2	protein-coding
597	BCL2A1	15q24.3	protein-coding
5966	REL	2p13-p12	protein-coding
5940	RBMY1A1	Yq11.223	protein-coding
5935	RBM3	Xp11.2	protein-coding
5914	RARA	17q21	protein-coding
5820	PVT1	8q24	ncRNA
581	BAX	19q13.3-q13.4	protein-coding
57650	KIAA1524	3q13.13	protein-coding
57496	MKL2	16p13.12	protein-coding
574492	MIR517C	19q13.42	ncRNA
574484	MIR520G	19q13.42	ncRNA
574447	MIR146B	10q24.32	ncRNA
57403	RAB22A	20q13.32	protein-coding
57332	CBX8	17q25.3	protein-coding
57222	ERGIC1	5q35.1	protein-coding
57167	SALL4	20q13.2	protein-coding
57154	SMURF1	7q22.1	protein-coding
57118	CAMK1D	10p13	protein-coding
57018	CCNL1	3q25.31	protein-coding
56946	EMSY	11q13.5	protein-coding
558	AXL	19q13.1	protein-coding
