													
		ALoFT		VEP					ANNOVAR				
	Total	LOF	SPLICE	STOP	FRAME	SPLICE	Regulary	Missense	STOP	Frameshift	Nonsynonymous	Synonymous	Nsyn6I12
chr1	1540325	50535	10537	17597	24192	5100	319696	502651	22184	29274	601691	287716	238967
chr10	602144	17960	4118	6246	8825	1901	112729	192095	7801	10544	227356	109444	94427
chr11	939967	30685	5993	10621	15185	2963	194973	312475	12842	17862	369270	177511	148392
chr12	806471	24888	5887	8974	12432	2854	160865	257620	10488	14408	296327	145259	131286
chr13	261056	8010	1754	2669	4090	806	45093	85137	3486	5219	103072	48738	45114
chr14	522936	15019	2980	5789	8197	1616	113130	169054	6175	8853	186791	90778	77043
chr15	550599	17133	3834	6156	8081	1906	109872	173649	7288	9431	203599	96390	86958
chr16	765043	21989	5056	8077	10472	2702	169833	238427	9275	12208	282295	145521	119248
chr17	926764	28625	6212	10162	14014	3153	220004	287890	12016	16772	339751	173823	148185
chr18	229433	6958	1548	2431	3298	760	35722	77754	3053	4051	91685	43698	38016
chr19	1096386	39582	6419	12957	19728	3266	225338	353580	16032	23483	435046	224491	141829
chr2	1111332	32791	7885	12009	16523	3764	197388	366653	14645	19078	427664	199177	186359
chr20	386642	11101	2483	3860	5321	1157	78592	120960	4952	6460	146226	75046	61770
chr21	167797	5328	1087	1756	2623	523	32652	52829	2239	3178	62653	31283	24631
chr22	369450	10298	2359	3755	5302	1189	88890	112303	4330	5820	130161	68235	55918
chr3	868466	28133	6281	9940	13976	3049	162061	289575	11803	17078	337232	158978	146859
chr4	581297	19306	4304	6838	9327	2057	101676	195755	8482	11426	229797	105226	96412
chr5	669905	21271	4208	7502	10642	2004	131051	228787	9159	12545	267002	128661	114826
chr6	756361	24908	5171	8884	12308	2424	168595	251789	11051	14766	297280	141255	118800
chr7	760309	22953	4882	8086	11079	2430	142810	235160	10003	13400	281908	137008	113021
chr8	554465	16116	3677	5857	7717	1827	104690	175947	7383	9298	212576	102204	89062
chr9	641260	19129	4031	6515	9487	1906	132220	205491	8299	11327	246724	120507	100209
chrX	372772	7329	1491	2433	2959	639	45049	118076	3226	4386	139537	73879	47910
chrY	6567	150	39	51	52	21	42	1946	70	68	2084	930	616
	15487747	480197	102236	169165	235830	50017	3092971	5005603	206282	280935	5917727	2885758	2425858
	Rates	0.031004962	0.006601089	0.010922505	0.015226876	0.003229456	0.199704386	0.323197622	0.013319045	0.018139178	0.382090888	0.186325229	0.156630787
													
													
													
													
													
													
													
		ALoFT		VEP					ANNOVAR				
	Total	LOF	SPLICE	STOP	Frame	SPLICE	Regulary	Missense	STOP	Frameshift	Nonsynonymous	Synonymous	Nsyn6I12
chr1	1540325	0.032808011	0.006840764	0.011424212	0.015705776	0.00331099	0.207551004	0.326327885	0.014402155	0.01900508	0.390626004	0.186789152	0.155140636
chr10	602144	0.029826752	0.006838896	0.010372934	0.014655963	0.003157052	0.187212693	0.319018374	0.012955373	0.017510762	0.377577457	0.181757188	0.15681797
chr11	939967	0.032644763	0.006375756	0.011299333	0.016154822	0.003152238	0.207425367	0.332431883	0.013662182	0.019002795	0.392854217	0.188848119	0.157869372
chr12	806471	0.030860378	0.007299705	0.011127492	0.015415309	0.003538875	0.199467805	0.319441121	0.013004807	0.017865491	0.367436647	0.18011683	0.162790727
chr13	261056	0.030683072	0.006718865	0.01022386	0.015667137	0.00308746	0.172733053	0.326125429	0.013353457	0.019991879	0.394827164	0.186695575	0.172813496
chr14	522936	0.028720532	0.005698594	0.011070188	0.015674958	0.003090244	0.216336225	0.323278566	0.011808328	0.016929414	0.357196674	0.173592944	0.14732778
chr15	550599	0.03111702	0.006963325	0.011180551	0.014676743	0.003461684	0.199549945	0.315381975	0.013236493	0.017128618	0.369777279	0.175063885	0.157933451
chr16	765043	0.028742175	0.006608779	0.010557577	0.013688119	0.003531828	0.221991444	0.311651763	0.012123502	0.015957273	0.368992331	0.190212838	0.155870977
chr17	926764	0.030887044	0.006702893	0.010965035	0.015121433	0.003402161	0.237389454	0.310640033	0.012965545	0.01809738	0.366599264	0.187559077	0.159895076
chr18	229433	0.030326936	0.006747068	0.010595686	0.014374567	0.003312514	0.15569687	0.338896323	0.013306717	0.017656571	0.399615574	0.190460832	0.165695432
chr19	1096386	0.036102249	0.00585469	0.011817918	0.017993663	0.002978878	0.20552798	0.322495909	0.014622587	0.021418551	0.396800032	0.204755442	0.129360462
chr2	1111332	0.029506034	0.007095089	0.010805952	0.014867744	0.003386927	0.17761389	0.329922111	0.01317788	0.017166787	0.384821098	0.17922367	0.167689763
chr20	386642	0.028711314	0.006421961	0.009983395	0.013762085	0.002992432	0.20326814	0.312847544	0.012807714	0.016707962	0.378194816	0.194096865	0.159760192
chr21	167797	0.031752654	0.006478066	0.010465026	0.015631984	0.003116861	0.194592275	0.314838764	0.013343504	0.018939552	0.373385698	0.186433607	0.146790467
chr22	369450	0.027873867	0.006385167	0.010163757	0.014351062	0.003218297	0.240600893	0.303973474	0.011720125	0.015753147	0.352310191	0.184693463	0.151354716
chr3	868466	0.032393899	0.007232292	0.011445468	0.016092743	0.003510788	0.186606039	0.333432742	0.01359063	0.019664558	0.38830766	0.183056101	0.169101611
chr4	581297	0.033211938	0.007404132	0.01176335	0.016045154	0.003538639	0.174912308	0.336755566	0.014591508	0.019656045	0.395317712	0.181019341	0.165856696
chr5	669905	0.031752263	0.006281488	0.011198603	0.015885835	0.002991469	0.195626246	0.341521559	0.013672088	0.018726536	0.398566961	0.192058575	0.171406393
chr6	756361	0.032931365	0.006836682	0.011745714	0.016272653	0.003204819	0.22290282	0.332895271	0.014610748	0.019522424	0.393039832	0.18675606	0.157067855
chr7	760309	0.030189042	0.006421074	0.01063515	0.014571707	0.003196069	0.187831526	0.3092953	0.013156493	0.017624413	0.370780827	0.180200419	0.148651404
chr8	554465	0.029065856	0.006631618	0.010563336	0.013917921	0.003295068	0.188812639	0.317327514	0.013315538	0.016769318	0.383389393	0.184329038	0.160626911
chr9	641260	0.029830334	0.006286062	0.010159686	0.014794311	0.002972273	0.206187818	0.320448804	0.012941709	0.017663662	0.384748776	0.187922216	0.156268908
chrX	372772	0.019660811	0.003999764	0.006526778	0.007937828	0.001714185	0.120848669	0.316751258	0.008654083	0.011765905	0.374322642	0.198188169	0.128523602
chrY	6567	0.02284148	0.005938785	0.007766103	0.00791838	0.003197807	0.006395614	0.296330136	0.010659357	0.010354804	0.317344297	0.141617177	0.093802345
	15487747												
