V$MYOD_01	M00001	mouse	MyoD	P10085
V$E47_01	M00002	human	E47	N
V$CMYB_01	M00004	mouse	c-Myb	P06876
V$AP4_01	M00005	human	AP-4	Q01664
V$MEF2_01	M00006	mouse	aMEF-2	Q60929
V$MEF2_01	M00006	rat	MEF-2	N
V$MEF2_01	M00006	human	MEF-2A	Q02078
V$ELK1_01	M00007	human	Elk-1	P19419
V$SP1_01	M00008	human	Sp1	P08047
V$EVI1_06	M00011	mouse	Evi-1	P14404
V$ATF_01	M00017	human	ATF	N
V$HOX13_01	M00023	mouse	HOXA5	P09021
V$E2F_01	M00024	human	E2F	N
V$E2F_01	M00024	mouse	E2F-1	Q61501
V$ELK1_02	M00025	human	Elk-1	P19419
V$RSRFC4_01	M00026	human	RSRFC4	N
V$CETS1P54_01	M00032	mouse	c-Ets-1	P27577
V$P300_01	M00033	human	p300	Q09472
V$P53_01	M00034	human	p53	P04637
V$P53_01	M00034	mouse	p53	P02340
V$NFE2_01	M00037	mouse	NF-E2	N
V$NFE2_01	M00037	human	NF-E2	N
V$NFE2_01	M00037	human	NF-E2 p45	Q16621
V$NFE2_01	M00037	mouse	NF-E2 p45	N
V$CREB_01	M00039	human	CREB	P16220
V$CREB_01	M00039	rat	CREB	P15337
V$CREB_01	M00039	mouse	CREB	Q01147
V$CREB_01	M00039	rat	deltaCREB	P15337
V$CREB_01	M00039	human	deltaCREB	P16220
V$CREB_01	M00039	mouse	deltaCREB	Q01147
V$CREBP1_01	M00040	human	ATF-2	P15336
V$CREBP1CJUN_01	M00041	human	ATF-2	P15336
V$CREBP1CJUN_01	M00041	mouse	c-Jun	P05627
V$CREBP1CJUN_01	M00041	rat	c-Jun	P17325
V$CREBP1CJUN_01	M00041	human	c-Jun	P05412
V$SOX5_01	M00042	mouse	Sox5	P35710
V$E4BP4_01	M00045	human	E4BP4	N
V$E2F_02	M00050	human	E2F	N
V$E2F_02	M00050	human	E2F-1	Q01094
V$E2F_02	M00050	mouse	E2F-1	Q61501
V$E2F_02	M00050	human	E2F-2	Q14209
V$E2F_02	M00050	human	E2F-3a	O00716
V$E2F_02	M00050	human	E2F-4	Q16254
V$E2F_02	M00050	human	E2F-5	Q15329
V$NFKAPPAB50_01	M00051	human	NF-kappaB1	P19838
V$NFKAPPAB65_01	M00052	human	RelA	Q04206
V$NFKAPPAB65_01	M00052	mouse	RelA	Q04207
V$CREL_01	M00053	human	c-Rel	Q04864
V$CREL_01	M00053	mouse	c-Rel	P15307
V$NFKAPPAB_01	M00054	rat	NF-kappaB	N
V$NFKAPPAB_01	M00054	mouse	NF-kappaB	N
V$NFKAPPAB_01	M00054	human	NF-kappaB	N
V$NFKAPPAB_01	M00054	human	NF-kappaB1	P19838
V$NFKAPPAB_01	M00054	human	RelA	Q04206
V$NMYC_01	M00055	mouse	N-Myc	P03966
V$MYOGNF1_01	M00056	rat	NF-1	P09414
